Region and country or area,2000,1990,1980,1970,1960,1950
Region and country or area,2000,1990,1980,1970,1960,1950
Europe,4915557,4350403,5149572,5740891,7256311,11784010
Northern and Western Europe,2070446,2058853,2384257,2629200,3334971,5850256
Northern Europe,974619,968271,1083499,1271591,1694430,3415551
British Isles,834225,809972,866966,937474,1171777,2147733
United Kingdom (total),677715,640145,669149,686099,833055,1402923
England,423609,405588,442499,458114,528205,809563
Scotland,88445,104168,142001,170134,213219,354323
Wales,10948,10638,13528,17014,23469,60205
Ireland,156474,169827,197817,251375,338722,744810
Scandinavia,140394,158299,216533,334117,522653,1267818
Norway,32207,42240,63316,97243,152698,347852
Sweden,49724,53676,77157,127070,214491,595250
Western Europe,1095847,1090582,1300758,1357609,1640541,2434705
Low countries,130615,132617,142748,155513,173069,206375
Belgium,33895,34366,36487,41412,50294,64194
Netherlands,94570,96198,103136,110570,118415,133133
Austria,63648,87673,145607,214014,304507,370914
France,151154,119233,120215,105385,111582,135592
Germany,706704,711929,849384,832965,989815,1608814
Southern and Eastern Europe,2840721,2285513,2748547,3090991,3907020,5918982
Southern Europe,934665,1054141,1336805,1363195,1541441,2133092
Greece,165750,177398,210998,177275,159167,174526
Italy,473338,580592,831922,1008533,1256999,1790429
Portugal (total),203119,210122,209968,119899,80276,108775
Portugal (main),175571,180466,177437,91034,57690,73164
Spain,82858,76415,73735,57488,44999,59362
Eastern Europe,1906056,1231372,1411742,1727796,2365579,3785890
Poland,466742,388328,418128,548107,747750,1268583
"Soviet Union (former, total)",838809,333725,406022,463462,690598,1153628
Asia,8226254,4979037,2539777,824887,490996,275665
China,988857,529837,286120,172132,99735,46129
India,1022552,450406,206087,51000,12296,5850
Japan,347539,290128,221794,120235,109175,70993
Africa,881300,363819,199723,80143,35355,18326
Oceania,168046,104145,77577,41258,34730,17343
Australia,60965,42267,36120,24271,22209,12816
Latin America,16086974,8407837,4372487,1803970,908309,791840
Caribbean,2953066,1938348,1258363,675108,193922,106241
Cuba,872716,736971,607814,439048,79150,18493
Central America,11203673,5431992,2553113,873624,624851,651976
Mexico,9177487,4298014,2199221,759711,575902,641462
Other Central America,2026150,1133978,353892,113913,48949,10514
South America,1930271,1037497,561011,255238,89536,33623
Northern America,829442,753917,853427,812421,952500,1310369
Canada,820771,744830,842859,812421,952500,1310369
