Region and Country of Birth,2000,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Region and Country of Birth,2000,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United Kingdom,677751,691300,681285,687637,694597,669794,684573,679483,695489,679112,683473,696896,702567,699193
Ireland,156474,133433,135722,134897,121982,124457,132540,132277,128350,125022,120144,125840,120187,124990
Austria,63648,61012,51461,52707,51866,48094,48179,44824,44688,48562,43401,44943,47831,38983
France,151154,149481,154786,157636,156379,147959,160833,166215,170394,166291,173561,175250,185775,191179
Germany,706704,635238,631990,641417,622608,604616,608288,592431,584184,582727,585298,563985,552640,559102
Italy,473338,419811,417511,392798,375666,364972,373897,354028,354305,356831,352492,335763,333911,324903
Portugal,203119,192316,198119,173303,203409,189333,183869,179619,182473,172922,176803,176638,172945,169980
Poland,466742,499702,484777,478569,443173,475503,461618,440312,432601,424460,419332,424928,418775,398786
Romania,135966,156318,168867,167966,178295,151767,164606,165819,157302,157315,159546,161629,165199,162443
Russia,340177,383077,403072,413370,403781,383166,399216,399128,390934,390977,386529,397236,403670,383305
China,988857,1334079,1363645,1360545,1432115,1608095,1650411,1710424,1804965,1929535,2065431,2130352,2216810,2221943
Japan,347539,353576,352933,333860,331090,319256,318225,329499,339970,336027,335767,355156,344453,361565
Korea,864125,1023956,1042580,1030691,1004329,1100422,1082613,1084662,1070335,1079784,1060019,1041727,1063074,1039099
India,1022552,1519157,1501782,1622522,1665219,1780322,1856777,1967998,2034677,2205912,2389639,2434524,2610537,2652853
Philippines,1369070,1638413,1701126,1684802,1725894,1777588,1813597,1868316,1843989,1926292,1982369,1941665,2008080,2013756
Singapore,20801,0,0,0,28723,26946,30608,31049,31293,30732,36252,28940,34604,34202
Thailand,169801,186526,195948,199075,203384,222759,239942,237050,233547,252477,247205,253585,256136,269381
Vietnam,988174,1117800,1100833,1138039,1152384,1240542,1259317,1258979,1281010,1291807,1300515,1352760,1342568,1345753
Kenya,69531,126748,134547,137012,148221,173592,162044,200503,195805,214530,228745,244924,249991,278083
Somalia,41081,79111,80595,83489,87267,88519,102561,106727,110678,121300,129905,129670,138150,146560
Egypt,190491,261469,274951,255942,264536,280280,290234,321956,321945,322390,345832,357574,359559,384439
Morocco,113396,136931,136648,129970,138194,137799,147515,172783,176443,172631,185872,181677,184359,207579
Australia,83837,92853,103860,103478,99784,103301,96665,115765,107647,114744,113277,124233,123080,120729
Americas,16916416,20943588,21248337,20977116,21277924,22031012,22040123,22119747,22320187,22703058,22949885,23085493,23241959,23340256
Latin America,16086974,20088292,20409676,20150245,20455547,21224087,21245344,21311457,21473266,21890416,22111409,22294730,22425056,22517787
Bahamas,2953066,3355737,3387004,3407909,3465890,3730644,3776783,3873113,3953655,4000114,4165453,4286266,4414943,4461065
Central America,11203637,14190041,14450476,14175411,14393833,14763612,14758017,14710961,14751230,15034607,15027927,15028973,14796926,14753640
Belize,9177487,11541404,11738537,11412668,11478413,11711103,11672619,11563374,11584977,11714489,11643298,11573680,11269913,11171893
Argentina,1930271,2542514,2572196,2566925,2595824,2729831,2710544,2727383,2768381,2855695,2918029,2979491,3213187,3303082
Canada,820771,846913,830388,818920,814965,798649,786317,800985,840192,806387,830628,783206,809267,813664
